postal_code,yelp_1,yelp_2,yelp_3,yelp_4,total_restaurants,review_count,stars,creditcard,bikeparking,outdoorseating,appointmentonly,goodforkids,perc_yelp_1,perc_yelp_2,perc_yelp_3,perc_yelp_4,city,agi,costindex,A02650,A00200,A00300,A00600,A00650,A01000,agi_1,agi_2,agi_3,agi_4,agi_5,agi_6,affluence,medianincome,zillowmeanprice19,zillowmeanprice18,whole_foods,core_power,trader_joes
15044,0,1,0,0,1,36,4.5,1,1,0,0,1,0,1,0,0,Pittsburgh,1760088,78.66,1785610,1259111,12535,45915,36333,62603,4090,2090,1630,1470,3240,2020,3,84957,160.7057976,161.2104306,0,0,0
15101,0,1,0,0,1,33,3.5,0,1,1,0,1,0,1,0,0,Pittsburgh,1167456,78.66,1186186,804369,6919,32227,25284,34583,3790,2220,1740,1410,2700,1090,3,72551,151.18784,151.8510224,0,0,0
15106,0,1,0,0,1,10,4,1,1,0,0,1,0,1,0,0,Pittsburgh,567640,78.66,576051,427291,2440,7904,6447,9839,3480,2690,1540,1030,1180,240,2,48659,123.3577484,116.5941179,0,0,0
15108,0,3,0,0,3,37,3.166666667,1,0.666666667,0.333333333,0,1,0,1,0,0,Pittsburgh,1596107,78.66,1616974,1214260,8951,23026,17319,28028,6210,4260,2930,2330,3940,1240,2,64014,146.4038615,133.8909697,0,0,0
15122,0,1,0,0,1,42,3,1,0,0,0,1,0,1,0,0,Pittsburgh,482728,78.66,487085,365004,2464,4122,3090,3457,3940,2790,1660,1060,930,80,2,46052,86.0482121,82.5501614,0,0,0
15126,0,1,0,0,1,5,4,1,0,0,0,1,0,1,0,0,Pittsburgh,241469,78.66,244014,198168,800,1622,1189,3112,1220,870,590,460,670,100,2,64366,133.8462094,122.7453955,0,0,0
15143,0,1,0,0,1,3,5,1,0,0,1,1,0,1,0,0,Pittsburgh,1912341,78.66,1942718,1104592,18919,104003,87684,167630,2740,1440,1130,980,2190,2040,3,84267,201.0653849,182.5659512,0,0,0
15146,0,1,0,0,1,4,2,1,0,0,0,1,0,1,0,0,Pittsburgh,898680,78.66,911733,638241,5190,16493,12719,18842,4760,3480,2460,1680,2090,410,2,58279,109.4916459,105.1932788,0,0,0
15201,57,121,21,0,199,62.85427136,4.042713568,0.91959799,0.939698492,0.195979899,0.070351759,0.809045226,0.286432161,0.608040201,0.105527638,0,Pittsburgh,428716,78.66,434210,331510,1412,4157,3662,6113,2290,2300,1180,670,680,200,2,35900,218.0963763,200.7867164,0,0,0
15202,20,20,1,2,43,16.65116279,3.709302326,0.930232558,0.674418605,0.093023256,0.069767442,0.88372093,0.465116279,0.465116279,0.023255814,0.046511628,Pittsburgh,565752,78.66,573383,449573,1922,7239,5563,8491,3640,3240,1550,900,1010,240,2,45961,103.344827,101.6211362,0,0,0
15203,105,163,25,7,300,53.38,3.638333333,0.93,0.933333333,0.216666667,0.023333333,0.78,0.35,0.543333333,0.083333333,0.023333333,Pittsburgh,318912,78.66,323968,264582,1134,3223,2421,4333,1590,1580,930,420,540,190,2,39541,152.9865076,150.3910651,0,0,0
15205,64,122,21,2,209,29.5215311,3.377990431,0.980861244,0.607655502,0.09569378,0.033492823,0.918660287,0.306220096,0.583732057,0.100478469,0.009569378,Pittsburgh,703436,78.66,713561,543797,2709,9355,7234,9644,4110,3480,1960,1100,1320,300,2,47441,104.4442587,102.1392031,0,0,0
15206,51,106,34,3,194,70.70103093,3.716494845,0.948453608,0.948453608,0.25257732,0.082474227,0.829896907,0.262886598,0.546391753,0.175257732,0.015463918,Pittsburgh,868452,78.66,881065,668645,3843,19693,15602,32209,5220,4100,1870,1000,1350,700,2,39661,167.53956,176.5666798,1,0,1
15207,8,10,0,0,18,44,4.111111111,0.777777778,0.888888889,0.333333333,0.055555556,0.833333333,0.444444444,0.555555556,0,0,Pittsburgh,222948,78.66,225332,178015,930,1467,1096,1743,2150,1550,710,440,400,30,2,35639,81.82481998,81.0157532,0,0,0
15209,11,16,2,0,29,34.10344828,3.844827586,0.965517241,0.655172414,0.068965517,0.034482759,0.862068966,0.379310345,0.551724138,0.068965517,0,Pittsburgh,364086,78.66,368499,285446,1727,3904,2969,4420,2180,1730,1050,720,860,130,2,54616,128.3925576,117.4895689,0,0,0
15211,13,18,11,2,44,84.70454545,3.522727273,0.931818182,0.727272727,0.25,0,0.636363636,0.295454545,0.409090909,0.25,0.045454545,Pittsburgh,362176,78.66,367758,268804,1484,6060,4834,11322,2040,2080,1040,500,580,180,2,44086,134.4556352,143.4264401,0,0,0
15212,47,93,9,1,150,47.78666667,3.73,0.88,0.873333333,0.346666667,0.02,0.773333333,0.313333333,0.62,0.06,0.006666667,Pittsburgh,628478,78.66,636170,514374,2223,6641,5032,8559,5320,4200,1970,1040,1070,200,2,35831,92.24621092,92.47006872,0,0,0
15213,157,117,7,3,284,48.59507042,3.536971831,0.922535211,0.919014085,0.13028169,0.021126761,0.911971831,0.552816901,0.411971831,0.024647887,0.01056338,Pittsburgh,396313,78.66,402377,229339,3135,23155,18827,38838,2550,1370,590,300,410,400,2,32228,181.3090148,178.9270091,0,0,0
15214,0,1,1,0,2,10.5,4.75,1,1,0,0.5,1,0,0.5,0.5,0,Pittsburgh,293864,78.66,297001,235952,885,1882,1392,1986,2940,1970,910,540,550,50,2,37779,78.94035233,82.6804049,0,0,0
15215,10,16,5,0,31,23.22580645,3.903225806,0.935483871,0.967741935,0.258064516,0.064516129,0.870967742,0.322580645,0.516129032,0.161290323,0,Pittsburgh,705838,78.66,717327,449036,4262,30992,25858,28910,2070,1330,750,550,920,700,2,73585,178.0293794,168.9001809,0,0,0
15216,47,70,5,2,124,33.79032258,3.637096774,0.975806452,0.774193548,0.137096774,0.056451613,0.89516129,0.379032258,0.564516129,0.040322581,0.016129032,Pittsburgh,722688,78.66,733942,557384,3353,10410,8058,13565,4000,3490,1840,1090,1490,400,2,48409,118.0098501,112.1679927,0,0,0
15217,86,104,21,4,215,51.76744186,3.660465116,0.934883721,0.944186047,0.148837209,0.046511628,0.953488372,0.4,0.48372093,0.097674419,0.018604651,Pittsburgh,1653451,78.66,1678549,945811,14435,72100,59264,105934,3440,2330,1600,1010,1970,1810,3,59637,215.4680287,195.0070138,0,0,0
15218,24,29,5,0,58,36.10344828,3.49137931,0.844827586,0.75862069,0.224137931,0.068965517,0.913793103,0.413793103,0.5,0.086206897,0,Pittsburgh,439838,78.66,447165,340896,1976,8692,6794,9696,2510,1980,1030,650,830,300,2,48658,112.8549044,102.8091904,0,0,0
15220,27,52,4,4,87,22.73563218,3.511494253,0.942528736,0.770114943,0.137931034,0.08045977,0.908045977,0.310344828,0.597701149,0.045977011,0.045977011,Pittsburgh,614149,78.66,621957,441692,3631,10408,9164,21582,2720,2300,1620,1220,1410,240,2,51164,121.1817871,126.8543754,0,0,0
15221,22,23,1,1,47,29.87234043,3.808510638,0.914893617,0.808510638,0.170212766,0.085106383,0.978723404,0.468085106,0.489361702,0.021276596,0.021276596,Pittsburgh,732533,78.66,742696,535858,3671,13083,10698,13416,6140,4420,1990,1160,1230,300,2,37425,85.38097709,81.62342655,0,0,0
15222,177,277,61,8,523,78.05162524,3.657743786,0.965583174,0.913957935,0.271510516,0.026768642,0.780114723,0.338432122,0.529636711,0.116634799,0.015296367,Pittsburgh,414352,78.66,419874,242104,3601,52642,45846,65090,660,510,430,300,510,430,3,42764,388.0114975,382.0285007,0,0,0
15224,78,67,8,1,154,46.66233766,3.980519481,0.857142857,0.941558442,0.207792208,0.058441558,0.837662338,0.506493506,0.435064935,0.051948052,0.006493506,Pittsburgh,244894,78.66,248948,201512,691,2275,1768,5240,2200,1970,820,270,330,90,2,30284,147.2108546,143.6331131,0,0,0
15226,33,26,1,0,60,27.71666667,3.858333333,0.883333333,0.85,0.133333333,0,0.9,0.55,0.433333333,0.016666667,0,Pittsburgh,354949,78.66,358909,282408,1646,3244,2369,3847,2470,2170,1300,750,670,50,2,47119,114.8242238,107.6281508,0,0,0
15227,21,26,4,0,51,13.66666667,3.617647059,0.941176471,0.941176471,0.078431373,0.039215686,0.960784314,0.411764706,0.509803922,0.078431373,0,Pittsburgh,781274,78.66,789468,610218,3684,7327,5507,7986,5100,4240,2500,1530,1670,190,2,48094,105.8386018,97.80130578,0,0,0
15229,18,14,0,0,32,16.78125,3.515625,0.875,0.78125,0.1875,0,0.96875,0.5625,0.4375,0,0,Pittsburgh,450447,78.66,456288,353301,1977,5179,4005,6251,2360,1890,1360,910,1070,180,2,55734,129.0502415,130.6342043,0,0,0
15232,34,106,40,5,185,50.84324324,3.759459459,0.940540541,0.956756757,0.237837838,0.097297297,0.767567568,0.183783784,0.572972973,0.216216216,0.027027027,Pittsburgh,668424,78.66,679206,414440,5119,30036,25511,76425,1290,1400,860,380,570,550,2,45928,261.5812972,263.2331714,0,0,0
15234,32,38,8,1,79,19.86075949,3.493670886,0.936708861,0.784810127,0.088607595,0.037974684,0.936708861,0.405063291,0.481012658,0.101265823,0.012658228,Pittsburgh,430532,78.66,435986,314004,2467,7220,5661,6104,2380,2120,1240,800,960,150,2,56447,133.7072856,125.6364242,0,0,0
15235,24,35,4,1,64,20.09375,3.453125,0.9375,0.71875,0.15625,0.046875,0.921875,0.375,0.546875,0.0625,0.015625,Pittsburgh,936241,78.66,946673,661276,4803,16119,12525,20572,6500,5330,2840,1710,1670,300,2,48687,82.30528989,77.72170836,0,0,0
15236,37,57,5,1,100,21.55,3.62,0.97,0.69,0.13,0.05,0.9,0.37,0.57,0.05,0.01,Pittsburgh,1009281,78.66,1020900,730786,6360,17214,13463,14912,5020,3770,2690,1960,2630,390,2,55607,137.8351282,126.8844671,0,0,0
15237,103,206,40,7,356,22.40168539,3.439606742,0.980337079,0.587078652,0.109550562,0.047752809,0.980337079,0.289325843,0.578651685,0.112359551,0.019662921,Pittsburgh,1889924,78.66,1916711,1387989,10056,39961,31196,59830,6180,4160,3230,2720,4760,1630,3,70890,153.4068088,149.0256768,0,0,1
15238,34,55,10,0,99,24.27272727,3.323232323,0.97979798,0.757575758,0.212121212,0,0.909090909,0.343434343,0.555555556,0.101010101,0,Pittsburgh,1322779,78.66,1347233,713761,12178,114888,102105,78882,1840,1020,710,560,1180,1600,3,101352,187.5207792,182.5676857,0,0,0
15239,8,13,2,0,23,14.34782609,3.5,1,0.695652174,0.217391304,0.130434783,0.956521739,0.347826087,0.565217391,0.086956522,0,Pittsburgh,696757,78.66,705930,527846,2909,7975,6139,11492,3430,2370,1720,1320,1890,300,2,65031,117.8398271,117.9179122,0,0,0
15241,20,47,18,4,89,14.34831461,3.308988764,1,0.719101124,0.168539326,0.056179775,0.93258427,0.224719101,0.528089888,0.202247191,0.04494382,Pittsburgh,1608904,78.66,1636682,941755,15893,58417,47264,108144,2700,1220,1010,940,2550,1890,4,106046,161.3938898,155.5240623,1,0,1
15243,2,6,0,0,8,23.25,3.5625,1,0.875,0.125,0,1,0.25,0.75,0,0,Pittsburgh,736346,78.66,747147,461286,6760,32534,26597,34858,1790,1030,950,900,1710,760,3,78580,168.1784431,164.5906315,0,0,0
15317,0,1,0,0,1,4,4,1,1,0,1,1,0,1,0,0,Pittsburgh,2004765,78.66,2035440,1354229,11555,42347,32937,102010,5700,3590,2620,2230,4450,1910,3,71994,151.0507371,146.6198918,0,0,0
21211,0,1,0,0,1,14,3,1,0,0,0,0,0,1,0,0,Charlotte,540849,75.35,548014,435024,2207,12154,9796,13834,2330,2460,1680,960,1140,220,2,48519,200.0897825,199.173521,1,1,0
28025,0,0,1,0,1,3,5,1,0,0,0,1,0,0,1,0,Charlotte,1327243,75.35,1342131,955065,4436,21188,17692,41694,8730,6120,3200,2030,2380,610,2,49299,121.2865085,114.9848677,0,0,0
28027,0,2,0,0,2,52.5,3.5,1,1,1,0,1,0,1,0,0,Charlotte,2087891,75.35,2109560,1718048,6189,18338,14254,48935,10120,7110,4010,2940,4790,1420,2,61136,127.1832892,123.9544762,0,0,0
28031,1,0,0,0,1,21,4,1,1,0,0,1,1,0,0,0,Charlotte,2019901,75.35,2049804,1190054,15220,45209,32880,123946,3760,2540,1920,1480,2710,1860,3,89177,187.1139264,184.113555,0,0,0
28075,1,0,0,0,1,143,3.5,1,1,1,0,1,1,0,0,0,Charlotte,771101,75.35,779523,627384,2259,7045,5397,15883,2450,1430,1030,1010,2400,670,3,80432,125.0244475,122.8409441,0,0,0
28078,1,3,1,0,5,16,3.7,1,0.8,0.2,0.2,1,0.2,0.6,0.2,0,Charlotte,2605445,75.35,2638658,2136651,9896,27867,21349,60423,6920,4760,3640,3050,6760,2680,3,85720,133.9271144,128.8226408,1,0,0
28104,0,1,0,0,1,84,3,1,1,1,0,1,0,1,0,0,Charlotte,1556147,75.35,1579152,1171858,6120,24024,17600,57920,3780,2140,1640,1360,3140,1860,3,94577,146.5576511,143.0417774,0,0,0
28105,3,2,0,0,5,28.4,3.8,1,0.8,0.2,0,1,0.6,0.4,0,0,Charlotte,1500130,75.35,1521890,1119939,6877,28506,22361,46864,6150,4260,2630,2040,3500,1230,2,74386,135.5885322,135.021249,0,0,0
28127,0,1,0,0,1,46,3.5,1,1,0,0,1,0,1,0,0,Charlotte,192898,75.35,195450,111430,911,8056,3959,5950,1020,730,370,290,290,90,2,46775,178.0806317,174.0175984,0,0,0
28134,3,2,0,0,5,18.6,3.7,1,1,0.2,0.2,1,0.6,0.4,0,0,Charlotte,308779,75.35,312701,253178,791,2336,1596,5324,1920,1450,760,510,690,160,2,51856,129.9246061,126.0255272,0,0,0
28173,1,1,0,0,2,8.5,3.25,1,0.5,0,0,1,0.5,0.5,0,0,Charlotte,3282684,75.35,3327538,2313663,25787,53078,39164,120348,6480,2980,2270,1900,5550,4010,3,89297,138.8674248,135.7213016,0,0,0
28202,151,269,55,8,483,73.32298137,3.612836439,0.99378882,0.863354037,0.389233954,0.041407867,0.679089027,0.3126294,0.556935818,0.113871636,0.016563147,Charlotte,786027,75.35,796957,652176,3481,12837,10465,23511,1450,1590,1570,900,1470,650,3,56632,305.5506112,290.6692731,1,0,0
28203,94,273,50,13,430,72.34883721,3.931395349,0.993023256,0.923255814,0.339534884,0.165116279,0.839534884,0.218604651,0.634883721,0.11627907,0.030232558,Charlotte,1093283,75.35,1112176,873148,3886,20433,16720,61118,2130,2150,1890,1030,1460,1240,3,60080,313.2866826,290.0064996,0,0,0
28204,67,126,29,1,223,71.08071749,3.762331839,0.98206278,0.950672646,0.304932735,0.112107623,0.874439462,0.30044843,0.565022422,0.130044843,0.004484305,Charlotte,395925,75.35,403550,307000,961,4653,3643,12718,980,1040,770,410,590,410,3,49877,265.5527777,259.789786,0,1,1
28205,166,208,14,2,390,66.07179487,3.837179487,0.951282051,0.874358974,0.243589744,0.053846154,0.887179487,0.425641026,0.533333333,0.035897436,0.005128205,Charlotte,1223072,75.35,1242607,1036034,2777,9937,7776,26258,9200,6330,2820,1430,2130,840,2,37458,240.010186,222.2295335,0,0,0
28206,30,41,4,3,78,35.91025641,3.621794872,0.961538462,0.807692308,0.346153846,0.038461538,0.730769231,0.384615385,0.525641026,0.051282051,0.038461538,Charlotte,173780,75.35,175824,157993,91,327,259,756,3440,1530,430,150,200,40,1,24984,182.9726789,174.2660061,0,0,0
28207,12,30,14,1,57,47.31578947,3.894736842,0.98245614,0.912280702,0.280701754,0.105263158,0.859649123,0.210526316,0.526315789,0.245614035,0.01754386,Charlotte,1976032,75.35,2009407,954366,22464,99691,80182,410602,840,540,380,290,540,1770,5,148850,356.5511422,335.181102,0,0,0
28208,103,102,8,1,214,52.3271028,3.172897196,0.96728972,0.546728972,0.140186916,0.009345794,0.925233645,0.481308411,0.476635514,0.037383178,0.004672897,Charlotte,515543,75.35,521577,453876,457,1134,802,3747,10290,4780,1260,460,450,100,1,27448,175.0215157,155.4675207,0,0,0
28209,66,182,36,7,291,52.43986254,3.697594502,0.975945017,0.89347079,0.281786942,0.103092784,0.883161512,0.226804124,0.625429553,0.12371134,0.024054983,Charlotte,1378549,75.35,1402165,965491,6446,32348,25453,150498,2820,2730,1940,1040,1810,1440,3,64240,264.4374546,256.9253457,0,1,0
28210,57,89,32,5,183,49.89071038,3.595628415,0.989071038,0.841530055,0.256830601,0.109289617,0.901639344,0.31147541,0.486338798,0.174863388,0.027322404,Charlotte,2359555,75.35,2394550,1519332,15038,84550,68414,243055,6610,5260,2880,1900,3700,2260,2,57651,185.159795,183.2513202,1,0,0
28211,48,152,56,18,274,47.67153285,3.556569343,0.99270073,0.864963504,0.248175182,0.069343066,0.930656934,0.175182482,0.554744526,0.204379562,0.065693431,Charlotte,2758842,75.35,2810656,1682476,29830,121372,100167,239138,3630,2380,1470,1090,2320,2980,3,73652,248.3730299,242.9020952,0,0,0
28212,42,34,1,1,78,14.62820513,3.346153846,1,0.628205128,0.115384615,0.025641026,0.923076923,0.538461538,0.435897436,0.012820513,0.012820513,Charlotte,558394,75.35,565311,464829,836,3085,2146,3982,9400,5680,1600,620,480,60,1,36232,119.3988441,115.3450179,0,0,0
28213,69,74,10,2,155,23.73548387,3.287096774,0.967741935,0.709677419,0.116129032,0.038709677,0.935483871,0.44516129,0.477419355,0.064516129,0.012903226,Charlotte,725209,75.35,733797,623501,1038,2503,1937,3017,8950,5480,2250,1120,1070,130,2,40640,107.4810923,102.9756608,0,0,0
28214,26,26,1,0,53,28.16981132,3.056603774,0.962264151,0.773584906,0.188679245,0.018867925,0.981132075,0.490566038,0.490566038,0.018867925,0,Charlotte,886184,75.35,896068,747744,1770,5090,3973,9799,7250,5590,2760,1380,1470,330,2,50528,114.7847662,109.5386604,0,0,0
28215,24,26,0,0,50,25.14,3.31,0.98,0.74,0.06,0.02,0.92,0.48,0.52,0,0,Charlotte,1062085,75.35,1074133,847631,2249,8611,6766,13233,12290,7790,3190,1630,1550,250,2,48010,121.279439,112.3627349,0,0,0
28216,69,93,24,1,187,25.61497326,3.192513369,0.978609626,0.748663102,0.181818182,0.042780749,0.978609626,0.368983957,0.497326203,0.128342246,0.005347594,Charlotte,1096070,75.35,1108437,931276,1920,5467,4229,10677,11490,7960,3360,1540,1520,340,2,44037,116.5407283,108.6274626,0,0,0
28217,116,148,11,2,277,40.06137184,3.371841155,0.97833935,0.80866426,0.115523466,0.025270758,0.953068592,0.418772563,0.534296029,0.039711191,0.007220217,Charlotte,480985,75.35,486177,414983,558,1899,1472,2111,6180,3830,1510,790,520,60,2,35691,121.5415269,134.5109442,0,0,0
28226,48,114,17,3,182,37.36263736,3.32967033,0.983516484,0.824175824,0.230769231,0.076923077,0.956043956,0.263736264,0.626373626,0.093406593,0.016483516,Charlotte,2739807,75.35,2788813,1695967,19783,88737,68397,269166,5150,3680,2340,1620,3310,2930,3,82899,180.0954337,176.1649848,0,0,0
28227,55,49,5,0,109,22.9266055,3.353211009,1,0.76146789,0.100917431,0.027522936,0.963302752,0.504587156,0.449541284,0.04587156,0,Charlotte,1418616,75.35,1438634,1055646,5884,13836,10539,23226,10360,6880,3260,2060,2730,720,2,55653,126.6668172,120.5954619,0,0,0
28262,112,201,13,3,329,40.76899696,3.35106383,0.987841945,0.823708207,0.258358663,0.05775076,0.945288754,0.340425532,0.610942249,0.039513678,0.009118541,Charlotte,861460,75.35,871443,761710,1079,4327,3146,6435,7410,5290,2760,1550,1390,250,2,44560,107.9386718,104.2957487,0,0,1
28269,89,92,9,1,191,25.14136126,3.384816754,0.979057592,0.77486911,0.204188482,0.052356021,0.963350785,0.465968586,0.481675393,0.047120419,0.005235602,Charlotte,2034498,75.35,2057179,1747991,3809,12546,9712,24801,12890,9790,5710,3420,4420,880,2,63730,116.1173316,110.2761373,0,0,0
28270,40,49,4,3,96,28.46875,3.53125,0.989583333,0.833333333,0.21875,0.0625,0.989583333,0.416666667,0.510416667,0.041666667,0.03125,Charlotte,1735451,75.35,1765010,1258439,9108,36075,28142,89901,3940,2610,1850,1430,3200,2210,3,88425,153.4923018,150.4846735,0,0,0
28273,109,178,16,4,307,34.59934853,3.376221498,0.990228013,0.771986971,0.218241042,0.06514658,0.960912052,0.35504886,0.57980456,0.052117264,0.013029316,Charlotte,855805,75.35,866294,762240,888,2583,1923,4302,6180,5530,2980,1540,1540,180,2,51769,126.8176728,116.9786007,0,0,0
28277,116,384,50,6,556,45.18705036,3.565647482,0.994604317,0.868705036,0.339928058,0.097122302,0.940647482,0.208633094,0.690647482,0.089928058,0.010791367,Charlotte,3878824,75.35,3939815,2938300,23279,72146,55751,144295,7420,4790,4090,3190,7400,4680,3,97891,152.9697995,150.0678624,1,0,1
28278,18,42,4,1,65,22.67692308,3.384615385,0.984615385,0.861538462,0.153846154,0.015384615,0.969230769,0.276923077,0.646153846,0.061538462,0.015384615,Charlotte,1178231,75.35,1196351,910925,4253,13946,8706,28003,3380,2800,2090,1520,2750,940,3,76765,127.9988915,125.8048485,0,0,0
29204,0,0,1,0,1,88,2,1,1,0,0,1,0,0,1,0,Charlotte,430884,75.35,438479,267192,2364,9442,7524,15364,3910,2020,810,480,620,240,2,35943,104.5142163,90.92547693,1,0,0
30101,0,0,1,0,1,30,3.5,1,1,0,0,1,0,0,1,0,Charlotte,2083624,75.35,2110640,1626679,7753,19287,14587,47932,8710,5110,3580,2760,5120,1760,2,81571,126.8675224,121.9913388,0,0,0
44040,0,1,0,0,1,3,4.5,1,1,0,0,1,0,1,0,0,Cleveland,480038,73.47,489446,230456,9769,40246,34407,49044,360,180,150,170,330,490,4,127313,144.0979222,152.2613917,0,0,0
44105,8,5,1,0,14,10.21428571,3.214285714,0.857142857,0.714285714,0.071428571,0.071428571,0.928571429,0.571428571,0.357142857,0.071428571,0,Cleveland,386789,73.47,389422,312902,388,568,438,145,8510,4270,1140,340,200,0,1,28348,30.27217297,30.19687089,0,0,0
44106,56,77,17,2,152,58.32236842,3.618421053,0.980263158,0.907894737,0.453947368,0.026315789,0.776315789,0.368421053,0.506578947,0.111842105,0.013157895,Cleveland,558465,73.47,571644,358317,4506,34120,28417,24849,3890,2010,880,400,620,510,2,28835,124.0311784,119.6383841,0,0,0
44107,7,3,0,0,10,42.7,3.5,1,0.9,0.1,0,0.9,0.7,0.3,0,0,Cleveland,1536917,73.47,1563939,1212596,5797,27606,22224,28578,9020,8350,4540,2300,2640,750,2,44345,137.287083,129.7916141,0,0,0
44109,51,45,6,0,102,24.17647059,3.647058824,0.931372549,0.784313725,0.147058824,0,0.911764706,0.5,0.441176471,0.058823529,0,Cleveland,560611,73.47,565237,473634,1281,2068,1589,1903,9030,5230,1930,760,530,30,1,30614,63.90420351,62.15500619,0,0,0
44111,73,66,5,1,145,22.90344828,3.589655172,0.951724138,0.827586207,0.089655172,0.020689655,0.889655172,0.503448276,0.455172414,0.034482759,0.006896552,Cleveland,761929,73.47,769366,623168,2586,4830,3710,4877,8640,6000,2610,1240,960,110,2,42117,79.19483341,75.41945294,0,0,0
44112,3,7,3,0,13,5.923076923,3.576923077,0.923076923,0.538461538,0,0.153846154,0.846153846,0.230769231,0.538461538,0.230769231,0,Cleveland,216870,73.47,218362,159168,285,509,304,278,4760,2110,600,220,160,0,1,27087,34.22327899,32.3076049,0,0,0
44113,132,265,35,5,437,75.38443936,3.848970252,0.963386728,0.901601831,0.421052632,0.038901602,0.691075515,0.302059497,0.606407323,0.080091533,0.011441648,Cleveland,564061,73.47,575041,454945,1406,9750,8245,11290,2760,2240,1540,690,810,390,2,30283,223.9886762,214.4305737,0,0,0
44116,3,0,0,0,3,13,3.166666667,1,1,0,0,1,1,0,0,0,Cleveland,1225094,73.47,1245756,735868,15170,61085,50788,94246,3080,2200,1790,1180,2170,1150,3,65857,159.5037273,153.0611326,1,0,0
44117,1,0,0,0,1,13,4,1,1,0,0,1,1,0,0,0,Cleveland,163173,73.47,164417,125503,481,912,647,505,2090,1370,590,280,200,0,2,31078,59.36666631,59.53507145,0,0,0
44118,22,24,8,0,54,23.27777778,3.574074074,0.925925926,0.907407407,0.203703704,0.055555556,0.925925926,0.407407407,0.444444444,0.148148148,0,Cleveland,1325924,73.47,1350440,875206,8995,42285,35632,44204,6120,4190,2650,1630,2450,890,2,58934,95.57139693,90.27954215,1,0,0
44119,13,10,1,0,24,24.70833333,3.9375,0.791666667,0.791666667,0.208333333,0.083333333,0.791666667,0.541666667,0.416666667,0.041666667,0,Cleveland,242516,73.47,245196,192892,856,2625,2017,1763,2590,2010,880,370,310,40,2,41491,59.7396485,59.43232115,0,0,0
44120,13,32,8,2,55,39.36363636,3.718181818,0.945454545,0.909090909,0.381818182,0.018181818,0.727272727,0.236363636,0.581818182,0.145454545,0.036363636,Cleveland,937985,73.47,954608,654322,5405,32146,26688,45964,7120,4030,1470,780,1110,800,2,40988,75.8388746,77.50490875,0,0,0
44121,17,19,3,1,40,16.275,3.5625,0.875,0.625,0.075,0,0.9,0.425,0.475,0.075,0.025,Cleveland,742368,73.47,751710,563534,3411,9893,7527,6958,6260,4640,2580,1330,1310,170,2,52603,68.84364646,66.47251739,0,0,0
44122,2,4,2,1,9,47.22222222,3,1,0.666666667,0,0,1,0.222222222,0.444444444,0.222222222,0.111111111,Cleveland,2125214,73.47,2168889,1204376,27888,113220,92550,174661,4750,3130,2180,1500,2790,2500,3,78989,118.6543955,116.2632754,1,0,1
44123,2,0,0,0,2,8,2.5,1,0.5,0,0,1,1,0,0,0,Cleveland,321100,73.47,323971,262034,1182,2536,1952,1327,3810,2860,1060,490,370,50,2,42198,63.06783994,60.02878979,0,0,0
44124,31,33,7,4,75,18.58666667,3.386666667,0.986666667,0.653333333,0.04,0.053333333,0.973333333,0.413333333,0.44,0.093333333,0.053333333,Cleveland,1961971,73.47,1997078,1190883,20972,111584,95733,134733,6080,5040,3560,2250,2710,1500,2,67656,113.2670499,106.4437167,0,0,0
